talker.id,gender,p.cog_hz,b.cog_hz,t.cog_hz,d.cog_hz,k.cog_hz,g.cog_hz,p.vot_ms,b.vot_ms,t.vot_ms,d.vot_ms,k.vot_ms,g.vot_ms,p.f0_hz,b.f0_hz,t.f0_hz,d.f0_hz,k.f0_hz,g.f0_hz
70,M,558.329437861146,661.430034546947,644.183371407645,1309.48080418288,753.571224018128,947.437549562483,16.7750647088164,5.35910972964643,17.4912787182006,7.91546512623163,16.2662360913035,13.2724478076416,21.7464417814516,13.0764136656134,16.8088583901598,34.730099749374,42.1606630429939,26.8052775796494
71,M,769.840236164692,562.974630385921,857.663234251674,656.074283544712,591.134416888958,690.777112107427,11.9433418205406,5.08566912234741,14.0874339384575,5.99880181880109,14.6604623802416,12.184355328094,11.9257696702259,8.23841478222762,6.94938758029736,8.78398497137957,10.8778867128559,10.0729423586949
72,M,988.553978203509,585.128748563938,1063.12148096827,1256.34380881886,776.793990785908,745.305903675203,20.3486420147548,5.19523434636353,23.6040598657948,6.63533441950401,20.8865586862467,8.63560880493787,21.453741646544,14.4178895919419,17.6420406761507,19.847484289745,16.7412659806645,18.0069924000825
73,F,725.750781164397,989.222296411546,446.118386539226,1568.43220959515,800.868056730241,1159.10006938118,15.9895388025533,5.5967493450999,20.4117106128332,9.2622169388368,18.8375463599356,10.7534484651631,41.8687480033027,37.6169584903728,37.7851238903024,51.2947542374824,31.1972280943058,42.6928859996906
74,M,541.039319994179,626.832333146571,818.98880788927,1285.20835502269,818.778591302004,752.76861417555,13.0580445609969,4.73129246165494,14.7462527042512,7.46443935243915,15.6240592248698,9.1985185211581,25.9865912981521,29.1491815244216,26.1259857981192,34.5215857293825,33.4039877270217,32.308573493156
75,F,563.895919153224,667.998316828674,499.149636238193,1531.43059200096,818.388228162299,896.371154887006,17.0600897805402,3.57251448014922,16.9854020566636,7.39287879763705,18.3626982563581,10.4660058111556,46.2091985360295,53.0465100401167,55.1236586113509,51.4002021384562,64.3685801711792,63.115884952257
76,M,680.147934486225,621.297839220748,814.289973685322,999.387697717062,780.476130323687,929.819658092801,17.9026696800974,6.45714982107713,11.8894334092366,6.68770710208392,18.2038297119067,9.82925790859039,26.0321809886665,9.19010390062839,11.1889326826551,14.8565168857795,10.37889711834,13.3308264742258
77,F,824.547404475883,1003.10792285755,718.474376694428,1753.11206054367,1074.73686486438,1019.89670472875,16.2244137561825,5.46814466346355,16.7648701028406,12.6743284565213,20.0425580409217,10.2476465102681,15.9023568363062,22.9991903460103,14.935832378162,17.7060249959434,14.4174532978614,12.7746070598255
78,F,521.89022873692,717.151105148119,1410.58204032381,1344.27209144998,836.015935239842,749.641331407074,15.7466876958847,3.7647952967845,17.4818716225423,8.92416556021819,17.9040526470686,8.04067879088272,44.3060528935159,33.7787196002846,39.5966555534856,59.7981582523782,47.2206309144851,58.1254522419118
79,F,477.077281321486,540.238764175793,1253.48324866253,1894.29683838709,597.373401344722,601.077903292246,19.8516086546724,3.11143260726422,22.5226171789374,9.09546268408254,20.4174571286209,6.64155931662124,35.9457784666162,27.916091230174,43.4015884662644,32.8182265491332,38.5143663487679,31.4114602299934
