talker.id,gender,p.cog_hz,b.cog_hz,t.cog_hz,d.cog_hz,k.cog_hz,g.cog_hz,p.vot_ms,b.vot_ms,t.vot_ms,d.vot_ms,k.vot_ms,g.vot_ms,p.f0_hz,b.f0_hz,t.f0_hz,d.f0_hz,k.f0_hz,g.f0_hz
33,F,1856.26133338329,1099.17050114838,3213.75971482234,2630.08272300545,2528.25544588097,1994.95814771674,44.7257377049163,7.10754216867439,58.3304242424293,10.3676320754712,56.6619342105278,14.4022405063285,230.444159196795,225.873822841949,234.387341233871,238.902051053347,250.752669945692,225.313397601485
34,F,2189.41354623106,1765.12450031111,4275.97610543325,3425.16247298108,2387.60069623067,2130.75648352045,54.658034482764,7.38486746988112,74.906411764706,17.0686274509817,60.0452933333312,19.3333333333274,178.908641421792,174.078431405269,195.283252585466,197.935926785745,208.699485501536,180.145790456861
35,M,1912.60970643075,914.64475278344,4347.63804208999,2297.51226600334,1734.37791079384,1292.02988324857,47.0404805194796,7.36855882353057,67.9548979591863,13.4897959183618,62.5747474747444,16.9215208333313,159.518823117666,138.625736637278,161.181003038208,153.043321670187,169.581982943315,140.391318937678
36,M,2586.7378787177,1581.43266855425,4814.34583960363,3152.01491263558,2501.84432875077,2115.97817882208,61.6398817204295,11.6451612903219,68.597180327871,15.7738095238098,56.260266666666,21.1333333333299,156.201563423757,151.024385832965,152.183287663199,151.727986074064,166.195917675297,158.926192291134
37,F,1742.02651337747,1132.46607591185,4371.11068585982,1975.65708507617,1902.82012572193,1484.72885552856,47.5066666666626,7.44897959183818,59.4893617021227,10.7364341085279,49.153846153849,14.1348314606796,179.9916006191,167.404200269979,188.361737665138,183.035483342515,197.01858504393,183.161500991072
38,M,1533.04098657882,1315.76789351027,3606.40320078865,2510.46056383944,1930.83574395243,1657.32061783609,61.0005844155872,12.2099072164971,74.1468124999975,15.4637482517486,61.3511170212755,17.5434782608705,104.781395685761,102.247664924078,103.415328342549,105.248210631759,105.802043316097,102.399005579837
39,M,1873.40655498371,1477.20208365034,4739.22164664833,2981.17337147257,2310.10478391116,2029.74922706608,49.8026956521745,7.64020833333354,63.2462033898251,10.7693416149098,43.8326886792466,12.2673267326696,137.535443385195,142.889958435929,136.006239760889,149.225801025747,157.024726078239,148.599921561985
40,M,1564.41375866604,908.807506691986,3401.06659872602,1519.40240140258,1878.81062745105,1065.33696930843,42.0837831325381,7.13636363636479,59.3109433962353,12.0506329113916,46.2784653465283,12.3700000000019,143.338898710602,133.967197933911,153.556547887717,137.54310562678901,151.724573801694,137.232689019232
41,M,1575.68369808573,577.035902808782,3578.8319241416,1692.59278445107,2232.3364675297,1120.47950327058,32.3342631578959,6.92307692307413,43.2679166666663,10.2283259259277,40.2563516483521,15.715909090913,118.129244788174,108.936777992257,119.605843139981,112.178806182915,122.899704436065,116.21989732605
42,M,2358.60670910552,1592.36195450597,4733.81081431192,2670.18164279226,2463.90869561745,1960.04217452473,54.864148648644,8.75287878787821,72.6943191489483,13.4444503816811,60.335630952379,20.9595595238098,123.352190124595,114.921587197077,127.753144321198,120.489151822445,130.45914201812,118.680576611957
43,F,1562.54822544633,703.578222934028,3865.9317472723,2278.58520436499,2074.24188045405,1452.08955078077,47.6818181818167,7.30588235294046,57.9444444444447,12.8782608695662,51.7124999999979,14.0843373493922,173.014472367049,166.026847507029,169.408266319449,173.101052679337,183.663049807359,168.854726478387
44,F,1765.04799865183,1177.91288413416,4048.80007057808,2861.33523943383,2127.26063880265,1468.95869017192,49.9146329113846,7.15214285714619,58.8079285714311,14.2008387096679,57.4536310679586,14.3769702970308,215.192031238453,201.108885190321,192.971301114553,215.048915862134,230.906045845794,203.450867035239
45,F,1740.25361893957,936.364460266031,3990.1661602079,1823.34059215828,1895.5765879924,1434.56024509567,50.3157894736872,6.98913043478221,63.6444444444509,10.5454545454589,58.6000000000052,12.8333333333361,230.994739258514,218.057897459066,230.527722112284,202.843287575887,237.67111589141,220.537209353071
46,M,2307.6215735397,752.548667308102,4964.53219130001,1952.83839044764,2428.72187842914,1147.48974060329,44.2718144329916,8.81349586777086,53.552083333331,12.063184357543,43.2347129629618,15.8745495495427,172.556258695719,159.598959885002,175.864032638655,165.332353278278,186.373748947413,165.826562497015
47,M,1585.61797325749,758.926173685521,3587.77592784716,1828.82026780198,1659.57875459666,918.285978265311,44.3725490196071,8.62499999999735,61.90909090908,14.4743589743674,45.9836065573717,9.36065573770375,130.714695650349,128.397402216156,143.996725001364,129.468031731471,135.079276527292,126.718920793684
48,M,2015.33966217218,1777.90622146316,3710.05821989944,2635.464833685,2336.34641143958,1819.81017626117,57.1339230769223,10.0963855421673,68.1418918918873,12.674283185839,60.7397749999989,19.8243827160515,121.967546239435,116.284380475234,125.101285619994,111.940688335821,131.129754791492,116.433478718736
49,F,2040.83915292695,1509.60269278374,4632.3705743502,2742.09983829228,2323.63711864784,1694.54103428001,53.0204081632725,7.80152671755753,66.4920634920641,13.7017692307721,55.6106194690234,13.7876106194665,248.610627085594,239.366180230731,244.86883872293,249.217910032849,254.22277862404,249.529863308369
50,F,2076.80626143736,1194.9382191653,4460.9439074546,2565.86968370614,2242.12324042015,1862.27298940176,43.6199999999973,8.98484848485244,49.3142857142969,13.4838709677402,42.9999999999986,14.2881355932234,218.872921006857,209.671746794859,222.379609606141,213.674996101,228.903523847101,212.43013342713
51,M,1554.95936715748,1077.92633604732,2980.43608235338,2080.29648657827,1861.57817383324,1367.26648909912,53.2238202247157,7.40566037736062,61.5287758620767,11.9350191082795,60.4184591836761,18.8752424242442,122.649034176968,115.565668202036,129.050226825742,122.348772599934,129.5758096323,117.489330375626
52,F,1746.65063542424,1323.56561723255,3735.003195305,2265.80838946947,1803.11198353026,1348.53362741524,45.9520581395337,7.91228070175614,58.4593818181811,14.6732026143784,48.8415000000036,14.7608181818229,178.018714336531,178.39933930502,186.344283558726,182.309351625218,191.591155257446,182.265936340955
53,M,1721.01886380707,1034.20520349094,3716.82797329506,2110.80775020481,1916.02861319211,1201.3717683743,43.8594146341531,8.57281553398363,64.1529215686257,13.5202702702683,50.2846060605991,15.1654791666735,154.185227854527,150.487870536199,158.872022045391,155.553780059736,161.999283163035,148.530280737813
54,F,2173.3971814569,1353.18251230589,3948.91778372486,2942.70893584147,2467.0452447314,2264.65797222008,51.7204301075266,8.62711864406487,63.2580645161284,18.6588235294124,57.9000000000053,17.4343434343483,229.099886184016,210.991446235268,226.469754901834,229.697389122893,248.659746098424,225.797883489633
55,M,1764.95073044669,728.731578749108,2832.41378870321,1806.74271060458,2471.36761084595,1229.47934467531,50.3292682926862,8.05154639175334,56.9795918367319,11.2808219178055,53.3750000000029,15.7052631578997,157.686814403027,152.139677153538,163.053409529496,156.301601074224,162.410195966866,157.341431975349
56,F,2120.5794826698,1293.21555819397,4089.56944682231,2094.14040364677,2145.02177147031,1613.21386866107,50.6571692307671,7.17736249999328,55.5386060606077,10.7678571428589,54.528155844155,14.3624999999933,175.188251189693,171.32665361376,187.901624190404,189.414270366928,211.011486931758,188.215544280229
57,F,1703.51631245078,1299.05461230459,3652.24943345394,1968.16495175007,1861.7544971283,1465.85867436109,48.3703703703788,7.97272727272678,62.0961538461489,10.560810810816,51.7551020408163,19.3979591836779,176.010726417111,172.772699479483,185.366262587143,179.780974368208,189.886362590812,177.928631223413
58,F,1746.92900285971,1705.15109930769,3533.68562328894,2710.30184153845,1811.49905149009,1939.28038638599,59.9696969697025,9.43529411764982,63.6000000000058,18.7179487179475,69.0714285714306,22.5000000000016,222.433632810318,198.103891149841,247.255781507107,231.632480733931,248.071564722333,229.105920933731
59,M,1616.96796809345,1018.8283923054,5530.27967950484,2426.17609574212,2185.63642139023,1416.29107175214,47.5297283950679,10.7850467289722,65.0634259259168,13.440789473683,56.7142886597981,15.5217391304407,148.380259773773,134.23648515041901,153.785512414276,140.650593579644,159.007424007926,139.369656092833
60,F,2101.9770665877,1334.26197200238,5456.04696681387,3437.51343737235,2164.97899577097,1744.81045330317,43.1881839080417,7.5001834862401,55.2496923076838,16.1390333333349,44.4705980392171,14.8333333333336,190.948944926663,181.171659811697,186.752244959279,186.944356604957,209.710743661386,190.293136079458
61,F,2443.15000295807,1606.57121172916,4007.13250714386,2587.48953422141,2154.54935795448,1863.19566534222,50.5896760563441,9.6785054945022,62.4784250000045,13.5298507462707,54.1169080459776,15.0026818181803,192.715371334824,187.29351745125,183.157647165483,193.472600329074,221.901895928573,226.432978141332
62,M,1444.41258309632,724.508950847765,3111.54278746041,1397.35013026491,1558.75730877285,1054.42231070066,48.6292134831459,6.75438596490753,57.9423076923026,10.3184713375776,49.0679611650478,11.1372549019629,114.79514494218,104.926133665725,113.396538768825,113.082938378648,117.248427274821,107.957362918478
63,F,1950.40405898981,829.805898453881,4353.24647217928,2780.19101190135,1976.99816213829,1562.68705708778,39.5101304347866,6.01724137930889,57.0141129032266,15.6937499999953,54.4438504672971,17.1960784313707,228.38122171072,213.661655395231,233.747143830192,242.98775450801,250.790318832242,227.775204057411
64,F,2151.32757251414,1343.22088182207,4911.49325982235,3028.42863131382,2372.90113078418,1807.45171962394,60.9185999999957,7.21613186812964,66.8051777777843,12.8933437500047,60.5734888888939,16.5039418604677,221.956667702214,208.798190941413,232.506821923859,206.573015663444,238.589294364347,216.600129811944
65,F,1938.79055911641,1408.70574644987,4497.50473421901,2171.47508364819,1924.71308812404,1517.48924135778,59.7682926829257,8.07692307692571,71.3958333333275,12.5666666666666,57.0721649484621,14.6666666666684,232.509353337299,219.51221054289,241.433709778129,244.021293893559,256.903308453409,229.815067846491
66,F,1501.48476875838,866.842737028447,4737.68722826202,2269.4015315617,2174.09001831114,1533.07997518375,48.714097560974,7.08284615384435,55.1993863636406,12.8224275862088,53.0104583333376,12.1610531914896,233.045317005604,219.569402338995,244.046291857694,228.632977382791,266.34378429906,227.735480936995
